active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
1989-061W,23167,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,W,Y,USA 40 R/B DEB,1989-061W,23167,
1989-061Y,23352,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,Y,Y,USA 40 R/B DEB,1989-061Y,23352,"LilacSat-2 (CAS-3H, Zidingxiang-2)"
1989-061AD,23357,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AD,Y,USA 40 R/B DEB,1989-061AD,23357,
1989-061AK,23363,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AK,Y,USA 40 R/B DEB,1989-061AK,23363,
1989-061AN,23366,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AN,Y,USA 40 R/B DEB,1989-061AN,23366,
1989-061AQ,23368,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AQ,Y,USA 40 R/B DEB,1989-061AQ,23368,
1989-061AR,23369,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AR,Y,USA 40 R/B DEB,1989-061AR,23369,
1989-061AX,23375,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,AX,Y,USA 40 R/B DEB,1989-061AX,23375,
1989-061BJ,23386,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,BJ,Y,USA 40 R/B DEB,1989-061BJ,23386,
1989-061BN,23390,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,BN,Y,USA 40 R/B DEB,1989-061BN,23390,
1977-044E,23424,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1977,44,E,Y,OPS 5644 DEB,1977-044E,23424,
1991-017C,23425,DEBRIS,USA 69 DEB,US,1991-03-08,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1991,17,C,Y,USA 69 DEB,1991-017C,23425,
1994-017Q,23611,DEBRIS,USA 101 DEB,US,1994-03-13,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1994,17,Q,Y,USA 101 DEB,1994-017Q,23611,
1999-028C,25746,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,C,Y,USA 144 DEB,1999-028C,25746,
1999-028D,25747,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,D,Y,USA 144 DEB,1999-028D,25747,
1999-028E,25748,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,E,Y,USA 144 DEB,1999-028E,25748,
1999-028F,25749,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,F,Y,USA 144 DEB,1999-028F,25749,
1999-028G,25751,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,G,Y,USA 144 DEB,1999-028G,25751,
1999-028J,25753,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,J,Y,USA 144 DEB,1999-028J,25753,
1999-028K,25754,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,K,Y,USA 144 DEB,1999-028K,25754,
1999-028L,25755,DEBRIS,USA 144 DEB,US,1999-05-22,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1999,28,L,Y,USA 144 DEB,1999-028L,25755,
1991-076M,27418,DEBRIS,USA 76 DEB,US,1991-11-08,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,13,1991,76,M,Y,USA 76 DEB,1991-076M,27418,
1990-050J,27420,DEBRIS,USA 60 DEB,US,1990-06-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,13,1990,50,J,Y,USA 60 DEB,1990-050J,27420,
1976-038G,8843,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,40,1976,38,G,Y,OPS 6431 DEB,1976-038G,8843,
1983-008J,28157,DEBRIS,OPS 0252 DEB,US,1983-02-09,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,90,1983,8,J,Y,OPS 0252 DEB,1983-008J,28157,
2003-008G,28247,DEBRIS,DELTA 4 DEB,US,2003-03-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,102,2003,8,G,Y,DELTA 4 DEB,2003-008G,28247,
1990-050L,28250,DEBRIS,USA 59-62 DEB,US,1990-06-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,104,1990,50,L,Y,USA 59-62 DEB,1990-050L,28250,
1984-012N,28529,DEBRIS,OPS 8737 DEB,US,1984-02-05,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,219,1984,12,N,Y,OPS 8737 DEB,1984-012N,28529,
1980-019J,28539,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,219,1980,19,J,Y,OPS 7245 DEB,1980-019J,28539,
1980-019K,28540,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,219,1980,19,K,Y,OPS 7245 DEB,1980-019K,28540,
1983-008K,31707,DEBRIS,OPS 0252 DEB,US,1983-02-09,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1167,1983,8,K,Y,OPS 0252 DEB,1983-008K,31707,
2007-054C,32547,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,C,Y,DELTA 4H DEB,2007-054C,32547,
2007-054D,32548,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,D,Y,DELTA 4H DEB,2007-054D,32548,
2007-054H,32552,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,H,Y,DELTA 4H DEB,2007-054H,32552,
2007-054J,32553,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,J,Y,DELTA 4H DEB,2007-054J,32553,
2007-054K,32554,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,K,Y,DELTA 4H DEB,2007-054K,32554,
2007-054L,32555,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,L,Y,DELTA 4H DEB,2007-054L,32555,
2007-054M,32556,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,M,Y,DELTA 4H DEB,2007-054M,32556,
